ts_code,name,concept,business,q_np_change
600096.SH,云天化,"煤化工,氟化工,磷肥,一带一路,化工原料,新材料,碳交易",化肥、化工原料及产品的生产、销售。,1575.40%
600122.SH,*ST宏图,"连锁,互联金融,新零售,长江三角,移动支付,智能穿戴",电子计算机网络工程设计、施工、安装;电子计算机及配件、通信设备(不含卫星地面接收设施)开发、研制、生产、销售及售后服务与咨询;摄影器材、金属材料、建筑装饰材料、五金交电(不含助力车)、水暖器材、陶瓷制品、电器机械、汽配、百货、针纺织品、电子辞典(非出版物)、计算器、文教办公用品销售;家电维修;实业投资;投资管理;房地产开发经营;自营和代理各类商品和技术的进出口(但国家限定公司经营和禁止进出口的商品和技术除外)。,22.30%
600123.SH,兰花科创,"煤化工,煤炭开采洗选,新材料,稀缺资源",煤炭、型煤、化工产品、建筑材料的生产、销售。,308.10%
600141.SH,兴发集团,"氟化工,半导体,中芯概念,磷化工,有机硅,稀缺资源,氢能源,草甘膦,消毒剂,化工原料,湖北自贸","磷矿石的开采及销售,磷酸盐、磷肥、草甘膦、有机硅等化工产品的生产和销售",2602.60%
600157.SH,永泰能源,"煤化工,火电,物联网,核能核电,一带一路,页岩气","煤矿及其他矿山投资,电厂投资,新能源开发与投资等。",3328.00%
600172.SH,黄河旋风,"军工,智能家居,智能机器,非金属新材料,新材料","人造金刚石,人造金刚石磨料磨具磨削及其它金刚石制品,建筑装修磨削机具;与上述经营范围相关的技术服务,经营本企业自产产品及相关技术的进出口业务;经营本企业生产、科研所需的原辅材料、仪器仪表、机械设备、零配件及相关技术的进出口业务(国家限定公司经营和国家禁止进出口的商品及技术除外);经营来料加工和“三来一补”业务。",117.20%
600193.SH,ST创兴,"综合,小金属,稀土永磁","矿业投资,实业投资,从事货物及技术的进出口业务。",754.80%
600196.SH,复星医药,"医疗器械,独角兽,病毒防治,医疗美容,生物疫苗,生物医药,肝素概念,流感,互联医疗,免疫治疗,青蒿素,单抗概念,中药","药品制造,药品销售,医疗器械和医疗诊断产品等。",50.80%
600209.SH,*ST罗顿,"酒店,区块链,土地流转","主要为酒店经营与管理,网络产品和装饰工程。",-34.60%
600219.SH,南山铝业,"铁路基建,电商概念,基本金属,大飞机,铝",铝制品、毛纺织品的开发、生产及销售、电力的生产及供应。,92.80%
600238.SH,海南椰岛,"健康中国,其他酒类,白酒,养老概念,彩票概念","以酒类产品的生产与销售为主要业务,以特色食品饮料板块、房地产开发板块、贸易与供应链板块为辅的业务格局",119.10%
600239.SH,*ST云城,"养老概念,房地产开发",房地产开发与经营、商品房销售、房屋租赁;基础设施建设投资、土地开发。,-23.00%
600241.SH,*ST时万,"燃料电池,储能设备,锂电池","以服装、服饰的出口业务及化工原料、矿产品等进口业务,房地产开发及写字间出租及物业管理。",267.30%
600242.SH,*ST中昌,"其他互联网服务,大数据,字节概念,网红直播",以搜索营销为核心的大数据智能营销软件和服务提供商。,64.20%
600271.SH,航天信息,"区块链,网络安全,生物识别,物联网,ETC,大数据,军工,蚂蚁概念,鸿蒙概念,专用计算机设备,人工智能,移动支付,食品安全,国产软件",金税及企业市场业务、金融科技及服务业务、物联网技术及应用业务。,115.30%
